time,val
5320,87.75
5328,86.9375
5336,86.25
5344,85.625
5352,84.8125
5360,83.6875
5368,81.9375
5376,79.5625
5384,76.625
5392,73.5
5400,70.875
5408,69.3125
5416,69.1875
5424,70.375
5432,72.3125
5440,74.4375
5448,76.25
5456,77.375
5464,77.6875
5472,77.375
5480,76.5
5488,75.1875
5496,73.5
5504,71.625
5512,69.75
5520,67.875
5528,66.1875
5536,64.6875
5544,63.5
5552,62.5625
5560,61.875
5568,61.375
5576,61.0625
5584,60.8125
5592,60.5625
5600,60.3125
5608,60
5616,59.625
5624,59.1875
5632,59.3125
5640,61.0625
5648,66.0625
5656,75.3125
5664,87.9375
5672,101.25
5680,112.25
5688,119
5696,120.812
5704,118.688
5712,114.188
5720,109
5728,104.375
5736,100.812
5744,98.25
5752,96.4375
5760,94.9375
5768,93.375
5776,91.625
5784,89.8125
5792,88.125
5800,86.6875
5808,85.625
5816,84.8125
5824,83.9375
5832,82.75
5840,81.3125
5848,79.875
5856,78.9375
5864,78.8125
5872,79.375
5880,80.3125
5888,81.0625
5896,81.3125
5904,80.8125
5912,79.6875
5920,78.125
5928,76.5
5936,74.9375
5944,73.5625
5952,72.5
5960,71.6875
5968,71.0625
5976,70.5
5984,69.875
5992,69.375
6000,68.875
6008,68.4375
6016,67.9375
6024,67.25
6032,66.375
6040,65.1875
6048,63.75
6056,62.125
6064,60.5
6072,59.3125
6080,59.125
6088,61.0625
6096,66.625
6104,76.6875
6112,90.125
6120,104.25
6128,115.875
6136,122.875
6144,124.625
6152,121.875
6160,116.125
6168,109.312
6176,102.938
6184,97.875
6192,94.4375
6200,92.5
6208,91.6875
6216,91.5
6224,91.625
6232,91.6875
6240,91.4375
6248,90.9375
6256,90.1875
6264,89.0625
6272,87.5
6280,85.375
6288,82.8125
6296,80.3125
6304,78.3125
6312,77.0625
6320,76.6875
6328,77
6336,77.875
6344,78.8125
6352,79.5625
6360,79.875
6368,79.75
6376,79.125
6384,78.125
6392,77
6400,75.875
6408,74.6875
6416,73.5
6424,72.1875
6432,70.6875
6440,69
6448,67.375
6456,65.875
6464,64.625
6472,63.75
6480,63.1875
6488,62.8125
6496,62.5
6504,62.125
6512,61.75
6520,61.5625
6528,62.3125
6536,65.0625
6544,71.125
6552,80.9375
6560,93.25
6568,105.5
6576,114.875
6584,119.875
6592,120.375
6600,117.375
6608,112.5
6616,107.25
6624,102.625
6632,99.125
6640,96.75
6648,95.3125
6656,94.4375
6664,93.8125
6672,93
6680,91.875
6688,90.5
6696,88.8125
6704,87.0625
6712,85.25
6720,83.3125
6728,81.25
6736,79.375
6744,77.9375
6752,77.3125
6760,77.5
6768,78.375
6776,79.5
6784,80.6875
6792,81.5
6800,81.875
6808,81.625
6816,80.75
6824,79.1875
6832,77.1875
6840,75.0625
6848,72.9375
6856,71.0625
6864,69.5625
6872,68.5
6880,67.75
6888,67.1875
6896,66.75
6904,66.4375
6912,66.125
6920,65.9375
6928,65.75
6936,65.4375
6944,64.875
6952,63.875
6960,62.4375
6968,61
6976,60.125
6984,61.125
6992,65.5
7000,74.25
7008,86.6875
7016,100.188
7024,111.688
7032,118.938
7040,121.312
7048,119.5
7056,114.938
7064,109.188
7072,103.562
7080,98.8125
7088,95.125
7096,92.5625
7104,90.625
7112,89.1875
7120,88
7128,87.1875
7136,86.625
7144,86
7152,85.25
7160,84.125
7168,82.5625
7176,80.625
7184,78.6875
7192,77.3125
7200,76.6875
7208,76.75
7216,77.1875
7224,77.5625
7232,77.5625
7240,77.125
7248,76.25
7256,75.0625
7264,73.875
7272,72.625
7280,71.375
7288,70.1875
7296,69.0625
7304,68.0625
7312,67.25
7320,66.6875
7328,66.1875
7336,65.625
7344,64.875
7352,63.8125
7360,62.5
7368,61.0625
7376,59.625
7384,58.1875
7392,56.9375
7400,55.8125
7408,54.875
7416,54.0625
7424,53.5625
7432,53.8125
7440,55.875
7448,61.25
7456,70.5
7464,82.6875
7472,95.125
7480,105.062
7488,110.812
7496,111.875
7504,109.062
7512,104.062
7520,98.375
7528,93.3125
7536,89.25
7544,86.4375
7552,84.75
7560,83.875
7568,83.5625
7576,83.5625
7584,83.6875
7592,83.5
7600,82.75
7608,81.25
7616,78.9375
7624,75.875
7632,72.5
7640,69.3125
7648,67.0625
7656,66.125
7664,66.5
7672,67.75
7680,69.4375
7688,71.0625
7696,72.4375
7704,73.5
7712,74.0625
7720,74.125
7728,73.5625
7736,72.5
7744,71
7752,69.125
7760,67.125
7768,65.125
7776,63.375
7784,62
7792,60.9375
7800,60.1875
7808,59.5625
7816,59.125
7824,58.8125
7832,58.625
7840,58.5
7848,58.4375
7856,58.25
7864,57.875
7872,57.375
7880,57
7888,57.5
7896,60.125
7904,66.0625
7912,75.4375
7920,86.8125
7928,97.6875
7936,105.812
7944,110.062
7952,110.562
7960,108.25
7968,104.438
7976,100.375
